# narkamauka<TAB>taraskievica<TAB>title_be<TAB>revid_be<TAB>title_tarask<TAB>revid_tarask<TAB>similarity
#
# Sentence pairs mined from be.wikipedia.org and be-tarask.wikipedia.org by
# scripts/fetch_parallel_corpus.py. The two wikis are written independently, so
# these are not translations: they are sentences the aligner judged to be the same
# sentence (same token count, >=60% of tokens identical, a clear margin over the
# runner-up). The sample is therefore biased towards short, formulaic sentences.
#
# MEASUREMENT ONLY. Never read by lexicon building, stem mining or model training:
# it exists to measure recall, and a set you have fitted to measures nothing.
# Text is CC BY-SA 4.0; see parallel.README.md.
Аданталогія разглядае пытанні, звязаныя з анатоміяй, фізіялогіяй, паталогіяй і прафілактыкай захворванняў органаў жавання і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі яго існавання.	Аданталёгія разглядае пытаньні, зьвязаныя з анатоміяй, фізыялёгіяй, паталёгіяй і прафіляктыкай захворваньняў органаў жаваньня і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі ягонага існаваньня.	Аданталогія	4348209	Аданталёгія	2180876	0.655
Реферат (Раўбічы, 2005) Польские полковые знаки и другие реликвии 81 пп (2005) Деятельность Гродненского губернского статистического комитета по выявлению и сохранению нумизматических находок.	Реферат (Раўбічы-2005) Польские полковые знаки и другие реликвии 81 пп (2005) Деятельность Гродненского губернского статистического комитета по выявлению и сохранению нумизматических находок.	Віктар Іванавіч Какарэка	4010132	Віктар Какарэка	2268637	0.950
Реферат (Вільнюс, 2006) О порче литовской монеты в 1566 году.	Реферат (Вільня-2006) О порче литовской монеты в 1566 году.	Віктар Іванавіч Какарэка	4010132	Віктар Какарэка	2268637	0.875
Реферат (Беласток-Аўгустоў, 2006) Юзеф Иодковский — страницы жизни.	Реферат (Беласток-Аўгустоў-2006) Юзеф Иодковский — страницы жизни.	Віктар Іванавіч Какарэка	4010132	Віктар Какарэка	2268637	0.833
Кампіляцыя, падрыхтаваная Какарэка да 115-годдзя нараджэння Ю.	Кампіляцыя падрыхтаваная Какарэка да 115-годзьдзя нараджэньня Ю.	Віктар Іванавіч Какарэка	4010132	Віктар Какарэка	2268637	0.714
Монеты Великого княжества Литовского, 1492—1707: каталог. — Мінск: УП «Экоперспектива», 2005.	Монеты Великого княжества Литовского, 1492—1707: каталёг. — Менск: УП «Экоперспектива», 2005.	Віктар Іванавіч Какарэка	4010132	Віктар Какарэка	2268637	0.750
З-за шматлікіх траўмаў асноўных ігракоў зборнай Самі трапіў у заяўку на чэмпіянат свету 2010 года.	З-за шматлікіх траўмаў асноўных гульцоў зборнай Самі трапіў у заяўку на чэмпіянат сьвету 2010 году.	Самі Хедзіра	4917377	Самі Хэдыра	2623251	0.786
На самім мундыялі ён правёў усе 7 матчаў сваёй зборнай, удастоіўшыся пры гэтым, разам з Басціянам Швайнштайгерам, з якім гуляў у паўабароне, пахвалы за выдатную гульню ў цэнтры поля.	На самім мундыялі ён правёў усе 7 матчаў сваёй зборнай, удастоіўшыся пры гэтым, разам з Бастыянам Швайнштайгерам, зь якім гуляў у паўабароне, пахвалы за выдатную гульню ў цэнтры поля.	Самі Хедзіра	4917377	Самі Хэдыра	2623251	0.929
Караль Прозар (1759 — 1 лістапада 1841, Хойнікі) — дзяржаўны і ваенны дзеяч Вялікага Княства Літоўскага.	Караль Прозар (1759 — 1 лістапада 1841, Хвойнікі) — дзяржаўны і вайсковы дзяяч Вялікага Княства Літоўскага.	Караль Прозар	4833715	Караль Прозар	2422566	0.727
Атрымаў выдатную адукацыю, актыўна ўдзельнічаў у палітычным жыцці краіны.	Атрымаў выдатную адукацыю, актыўна ўдзельнічаў у палітычным жыцьці краіны.	Караль Прозар	4833715	Караль Прозар	2422566	0.889
Займаў пасаду маршалака Трыбуналу Вялікага Княства Літоўскага (1787), потым быў абозным (генерал-кватармайстрам).	Займаў пасаду маршалака Трыбуналу Вялікага Княства Літоўскага (1787), потым быў абозным (генэрал-кватармайстрам).	Караль Прозар	4833715	Караль Прозар	2422566	0.909
Пры падрыхтоўцы паўстання (1794) сабраў на яго падтрымку каля мільёна злотых, прадаўшы пры гэтым частку сваіх уладанняў.	Пры падрыхтоўцы паўстаньня (1794) сабраў на яго падтрымку каля мільёна злотых, прадаўшы пры гэтым частку сваіх уладаньняў.	Караль Прозар	4833715	Караль Прозар	2422566	0.875
Аднак з прычыны недасведчанасці ў ваеннай справе не здолеў разгарнуць ваенных дзеянняў, выехаў у Варшаву. 18 ліпеня 1794 атрымаў ад Т.	Аднак з прычыны недасьведчанасьці ў вайсковай справе ня здолеў разгарнуць ваенных дзеяньняў, выехаў у Варшаву. 18 ліпеня 1794 атрымаў ад Т.	Караль Прозар	4833715	Караль Прозар	2422566	0.789
